Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A reduced-form rapid economic consequence estimating model: Application to property damage from U.S. earthquakes,International Journal of Disaster Risk Science,,4,1,10.1007/s13753-013-0004-z,Nathaniel HeatwoleAdam Rose,2013,http://link.springer.com/article/10.1007/s13753-013-0004-z,Article
Developing a Smart Clothing System for Blinds Based on Information Axiom,International Journal of Computational Intelligence Systems,,6,2,10.1080/18756891.2013.769766,Senem Kursun BahadirSelcuk CebiCengiz KahramanFatma Kalaoglu,2013,http://link.springer.com/article/10.1080/18756891.2013.769766,Article
Configurable product design considering the transition of multi-hierarchical models,Chinese Journal of Mechanical Engineering,,26,2,10.3901/CJME.2013.02.217,Bin RenLemiao QiuShuyou ZhangJianrong TanJin Cheng,2013,http://link.springer.com/article/10.3901/CJME.2013.02.217,Article
"Community disaster management assets: A case study of the farm community in Sussex County, Delaware",International Journal of Disaster Risk Science,,4,1,10.1007/s13753-013-0005-y,Yvonne Rademacher,2013,http://link.springer.com/article/10.1007/s13753-013-0005-y,Article
Activity-based costing in services: literature bibliometric review,SpringerPlus,,2,1,10.1186/2193-1801-2-80,Nara Medianeira StefanoNelson Casarotto Filho,2013,http://link.springer.com/article/10.1186/2193-1801-2-80,Article
New rating methods to prioritize customer requirements in QFD with incomplete customer preferences,The International Journal of Advanced Manufacturing Technology,,65,09-dic,10.1007/s00170-012-4282-1,Yoon-Eui NahmHaruo IshikawaMasato Inoue,2013,http://link.springer.com/article/10.1007/s00170-012-4282-1,Article
Application of neural network in QFD matrix,Journal of Intelligent Manufacturing,,24,2,10.1007/s10845-011-0604-7,Izabela Kutschenreiter-Praszkiewicz,2013,http://link.springer.com/article/10.1007/s10845-011-0604-7,Article
Results from the Pro-QOL-IV for Substance Abuse Counselors Working with Offenders,International Journal of Mental Health and Addiction,,11,2,10.1007/s11469-012-9412-3,Elizabeth B. PerkinsGinny Sprang,2013,http://link.springer.com/article/10.1007/s11469-012-9412-3,Article
Mining affective needs of automotive industry customers for building a mass-customization recommender system,Journal of Intelligent Manufacturing,,24,2,10.1007/s10845-011-0579-4,Efthimia MavridouDionisis D. KehagiasDimitrios TzovarasGeorge Hassapis,2013,http://link.springer.com/article/10.1007/s10845-011-0579-4,Article
Gauging the way to MFV,Journal of High Energy Physics,,2013,4,10.1007/JHEP04(2013)064,Gordan KrnjaicDaniel Stolarski,2013,http://link.springer.com/article/10.1007/JHEP04%282013%29064,Article
A dynamic modeling to measure lean performance within lean attributes,The International Journal of Advanced Manufacturing Technology,,66,05-ago,10.1007/s00170-012-4356-0,Alireza AnvariNorzima ZulkifliRosnah Mohd Yusuff,2013,http://link.springer.com/article/10.1007/s00170-012-4356-0,Article
A Fuzzy Multi-Attribute Decision Making Model for Strategic Risk Assessment,International Journal of Computational Intelligence Systems,,6,3,10.1080/18756891.2013.781334,Rabia ArikanMetin DağdevirenMustafa Kurt,2013,http://link.springer.com/article/10.1080/18756891.2013.781334,Article
Systemic Analysis of an Industrial System: Case Study of a Grain Silo,Arabian Journal for Science and Engineering,,38,5,10.1007/s13369-012-0357-4,Mohamed Najeh Lakhoua,2013,http://link.springer.com/article/10.1007/s13369-012-0357-4,Article
Multi-layer quality function deployment (QFD) approach for improving the compromised quality satisfaction under the agency problem: A 3D QFD design for the asset selection problem in the shipping industry,Quality & Quantity,,47,4,10.1007/s11135-011-9653-4,Okan DuruSheng Teng HuangEmrah BulutShigeru Yoshida,2013,http://link.springer.com/article/10.1007/s11135-011-9653-4,Article
Applying QFD to business development environment,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,35,2,10.1007/s40430-013-0010-5,Marcelo Farhat de AraujoLuís Gonzaga Trabasso,2013,http://link.springer.com/article/10.1007/s40430-013-0010-5,Article
Analysis of modularity implementation methods from an assembly and variety viewpoints,The International Journal of Advanced Manufacturing Technology,,66,09-dic,10.1007/s00170-012-4473-9,Gül. E. Okudan KremerSaraj Gupta,2013,http://link.springer.com/article/10.1007/s00170-012-4473-9,Article
A model for total quality management in higher education,Quality & Quantity,,47,4,10.1007/s11135-011-9632-9,Muhammad AsifMuhammad Usman AwanMuhammad Khalid KhanNiaz Ahmad,2013,http://link.springer.com/article/10.1007/s11135-011-9632-9,Article
Implementation of a generic concurrent engineering environment framework for boatbuilding,Journal of Marine Science and Technology,,18,2,10.1007/s00773-012-0205-y,A. J. SobeyJ. I. R. BlakeR. A. Shenoi,2013,http://link.springer.com/article/10.1007/s00773-012-0205-y,Article
Setting the course for quality assurance in higher education,Quality & Quantity,,47,4,10.1007/s11135-011-9639-2,Muhammad AsifAbdul Raouf,2013,http://link.springer.com/article/10.1007/s11135-011-9639-2,Article
TQM practice in real-estate industry using AHP,Quality & Quantity,,47,4,10.1007/s11135-011-9641-8,P. Sanjay Sarathy,2013,http://link.springer.com/article/10.1007/s11135-011-9641-8,Article
Simulation and analysis for sustainable product development,The International Journal of Life Cycle Assessment,,18,5,10.1007/s11367-012-0538-0,Mahesh ManiBjorn JohanssonKevin W. LyonsRam D. SriramGaurav Ameta,2013,http://link.springer.com/article/10.1007/s11367-012-0538-0,Article
"Farmers’ Supply Response, Price of Corn Residue, and Its Economic Viability as an Energy Feedstock",BioEnergy Research,,6,2,10.1007/s12155-013-9300-0,Juan P. SesmeroBenjamin M. Gramig,2013,http://link.springer.com/article/10.1007/s12155-013-9300-0,Article
"The role of provenance in the diagenesis of siliciclastic reservoirs in the Upper Triassic Yanchang Formation, Ordos Basin, China",Petroleum Science,,10,2,10.1007/s12182-013-0262-9,Xiaoqi DingMeimei HanShaonan Zhang,2013,http://link.springer.com/article/10.1007/s12182-013-0262-9,Article
A case for trading risk in complex conceptual design trade studies,Research in Engineering Design,,24,3,10.1007/s00163-012-0142-0,Douglas L. Van BossuytIrem Y. TumerStephen D. Wall,2013,http://link.springer.com/article/10.1007/s00163-012-0142-0,Article
Safety process innovation in medical service industry,Quality & Quantity,,47,5,10.1007/s11135-012-9697-0,Chih-Ming LuoHung-Fan Chang,2013,http://link.springer.com/article/10.1007/s11135-012-9697-0,Article
New competitive priority rating method of customer requirements for customer-oriented product design,International Journal of Precision Engineering and Manufacturing,,14,8,10.1007/s12541-013-0186-8,Yoon-Eui Nahm,2013,http://link.springer.com/article/10.1007/s12541-013-0186-8,Article
Quality function deployment in a public plastic surgery service in Brazil,European Journal of Plastic Surgery,,36,8,10.1007/s00238-013-0839-y,José Lamartine Galvão CamposDaniela Francescato VeigaLuiz Roberto Martins RochaNeil Ferreira NovoJoel Veiga-FilhoLydia Masako Ferreira,2013,http://link.springer.com/article/10.1007/s00238-013-0839-y,Article
Aesthetical design of a car profile: a Kano model-based hybrid approach,The International Journal of Advanced Manufacturing Technology,,67,09-dic,10.1007/s00170-012-4636-8,H. C. YadavRajeev JainA. R. SinghP. K. Mishra,2013,http://link.springer.com/article/10.1007/s00170-012-4636-8,Article
Climate Change and Levels of Violence in Socially Disadvantaged Neighborhood Groups,Journal of Urban Health,,90,4,10.1007/s11524-013-9791-1,Dennis Mares,2013,http://link.springer.com/article/10.1007/s11524-013-9791-1,Article
Supplier evaluation and selection with QFD and FAHP in a pharmaceutical company,The International Journal of Advanced Manufacturing Technology,,68,01-abr,10.1007/s00170-013-4733-3,Alireza AlinezadAzadeh SeifNima Esfandiari,2013,http://link.springer.com/article/10.1007/s00170-013-4733-3,Article
Competitive performance improvement by operational budget allocation using ANFIS and fuzzy quality function deployment: a case study,The International Journal of Advanced Manufacturing Technology,,68,01-abr,10.1007/s00170-013-4948-3,Devika KannanAhmad JafarianHassan Alibabaei KhameneLaya Olfat,2013,http://link.springer.com/article/10.1007/s00170-013-4948-3,Article
Life and failure mechanism prediction of eco-friendly P2O5-SnO2-B2O3 glass frits,Electronic Materials Letters,,9,5,10.1007/s13391-012-2163-2,Hyoung-Seuk ChoiDuck-Kyun Choi,2013,http://link.springer.com/article/10.1007/s13391-012-2163-2,Article
Agility appraisal for integrated supply chain using generalized trapezoidal fuzzy numbers set,The International Journal of Advanced Manufacturing Technology,,68,05-ago,10.1007/s00170-013-4937-6,Chitrasen SamantraSaurav DattaSwagatika MishraSiba Sankar Mahapatra,2013,http://link.springer.com/article/10.1007/s00170-013-4937-6,Article
Evaluating the effectiveness of the security quality requirements engineering (SQUARE) method: a case study using smart grid advanced metering infrastructure,Requirements Engineering,,18,3,10.1007/s00766-012-0153-4,Husam SuleimanDavor Svetinovic,2013,http://link.springer.com/article/10.1007/s00766-012-0153-4,Article
An efficient DEA method for ranking woven fabric defects in textile manufacturing,The International Journal of Advanced Manufacturing Technology,,68,01-abr,10.1007/s00170-013-4732-4,Reza G. SaeidiGholam R. AminSadigh RaissiSaid Gattoufi,2013,http://link.springer.com/article/10.1007/s00170-013-4732-4,Article
Geodesic convexity of the relative entropy in reversible Markov chains,Calculus of Variations and Partial Differential Equations,,48,01-feb,10.1007/s00526-012-0538-8,Alexander Mielke,2013,http://link.springer.com/article/10.1007/s00526-012-0538-8,Article
Nontraditional machining processes selection using evaluation of mixed data method,The International Journal of Advanced Manufacturing Technology,,68,05-ago,10.1007/s00170-013-4958-1,Prasenjit ChatterjeeShankar Chakraborty,2013,http://link.springer.com/article/10.1007/s00170-013-4958-1,Article
Quantifying the impact of requirements definition and management process maturity on project outcome in large business application development,Requirements Engineering,,18,3,10.1007/s00766-012-0146-3,Keith EllisDaniel M. Berry,2013,http://link.springer.com/article/10.1007/s00766-012-0146-3,Article
Mass customization and personalization software development: a case study eco-design product service system,Journal of Intelligent Manufacturing,,24,5,10.1007/s10845-012-0643-8,Tsai Chi Kuo,2013,http://link.springer.com/article/10.1007/s10845-012-0643-8,Article
A systematic approach for green design in modular product development,The International Journal of Advanced Manufacturing Technology,,68,09-dic,10.1007/s00170-013-4865-5,Teng-Ruey ChangChung-Shing WangChung-Chuan Wang,2013,http://link.springer.com/article/10.1007/s00170-013-4865-5,Article
Affective and cognitive design for mass personalization: status and prospect,Journal of Intelligent Manufacturing,,24,5,10.1007/s10845-012-0673-2,Feng ZhouYangjian JiRoger Jianxin Jiao,2013,http://link.springer.com/article/10.1007/s10845-012-0673-2,Article
A KE-LSA approach for user-centered design,Journal of Intelligent Manufacturing,,24,5,10.1007/s10845-012-0625-x,Shana SmithGregory C. SmithYu-Rong Chen,2013,http://link.springer.com/article/10.1007/s10845-012-0625-x,Article
Perceived feature utility-based product family design: a mobile phone case study,Journal of Intelligent Manufacturing,,24,5,10.1007/s10845-012-0699-5,Gül E. OkudanMing-Chuan ChiuTae-Hyun Kim,2013,http://link.springer.com/article/10.1007/s10845-012-0699-5,Article
An approach for capturing the Voice of the Customer based on Virtual Prototyping,Journal of Intelligent Manufacturing,,24,5,10.1007/s10845-012-0662-5,Marina CarulliMonica BordegoniUmberto Cugini,2013,http://link.springer.com/article/10.1007/s10845-012-0662-5,Article
Developing measures for performance excellence: is the Baldrige criteria sufficient for performance excellence in higher education?,Quality & Quantity,,47,6,10.1007/s11135-012-9706-3,Muhammad AsifAbdul RaoufCory Searcy,2013,http://link.springer.com/article/10.1007/s11135-012-9706-3,Article
Mass customization in the product life cycle,Journal of Intelligent Manufacturing,,24,5,10.1007/s10845-012-0691-0,Shana SmithGregory C. SmithRoger JiaoChih-Hsing Chu,2013,http://link.springer.com/article/10.1007/s10845-012-0691-0,Article
Protypology: A new stage in the standardization of metal products,Steel in Translation,,43,10,10.3103/S0967091213100094,G. Sh. RubinM. A. PolyakovaM. V. ChukinG. S. Gun,2013,http://link.springer.com/article/10.3103/S0967091213100094,Article
A methodology for portfolio-level analysis of system commonality,Research in Engineering Design,,24,4,10.1007/s00163-012-0151-z,Wilfried K. HofstetterEdward F. Crawley,2013,http://link.springer.com/article/10.1007/s00163-012-0151-z,Article
Applying quality function deployment in industrial design curriculum planning,International Journal of Technology and Design Education,,23,4,10.1007/s10798-012-9228-2,Shuo-Fang LiuYann-Long LeeYi-Zhi LinChien-Feng Tseng,2013,http://link.springer.com/article/10.1007/s10798-012-9228-2,Article
Reduction of product platform complexity by vectorial Euclidean algorithm,Journal of Mechanical Science and Technology,,27,11,10.1007/s12206-013-0859-3,Israel Aguilera NavarreteAlejandro A. Lozano Guzmán,2013,http://link.springer.com/article/10.1007/s12206-013-0859-3,Article
A Hierarchical Group Decision-Making Approach for New Product Selection in a Fuzzy Environment,Arabian Journal for Science and Engineering,,38,11,10.1007/s13369-012-0430-z,S. Meysam MousaviS. Ali TorabiReza Tavakkoli-Moghaddam,2013,http://link.springer.com/article/10.1007/s13369-012-0430-z,Article
"Seasonal observations and machine-learning-based spatial model predictions for the common raven (Corvus corax) in the urban, sub-arctic environment of Fairbanks, Alaska",Polar Biology,,36,11,10.1007/s00300-013-1376-7,A. P. BaltenspergerT. C. MulletM. S. SchmidG. R. W. HumphriesL. KövérF. Huettmann,2013,http://link.springer.com/article/10.1007/s00300-013-1376-7,Article
Fuzzy Group Decision-Making in the Measurement of Ecotourism Sustainability Potential,Group Decision and Negotiation,,22,6,10.1007/s10726-012-9305-7,Ling-Zhong LinChi-Fang Lu,2013,http://link.springer.com/article/10.1007/s10726-012-9305-7,Article
Evaluating the Sustainability SWOT as a streamlined tool for life cycle sustainability assessment,The International Journal of Life Cycle Assessment,,18,9,10.1007/s11367-012-0456-1,Hanna-Leena PesonenSusanna Horn,2013,http://link.springer.com/article/10.1007/s11367-012-0456-1,Article
The economic value of delaying adaptation to sea-level rise: An application to coastal properties in Connecticut,Climatic Change,,121,2,10.1007/s10584-013-0848-7,Tsvetan G. TsvetanovFarhed A. Shah,2013,http://link.springer.com/article/10.1007/s10584-013-0848-7,Article
A customer oriented systematic framework to extract business strategy in Indian electricity services,Journal of Industrial Engineering International,,9,1,10.1186/2251-712X-9-33,Suchismita SatapathyPravudatta Mishra,2013,http://link.springer.com/article/10.1186/2251-712X-9-33,Article
A novel approach to prioritize customer requirements in QFD based on customer satisfaction function for customer-oriented product design,Journal of Mechanical Science and Technology,,27,12,10.1007/s12206-013-0921-1,Yoon-Eui Nahm,2013,http://link.springer.com/article/10.1007/s12206-013-0921-1,Article
A fuzzy QFD approach to determine supply chain management strategies in the dairy industry,Journal of Intelligent Manufacturing,,24,6,10.1007/s10845-012-0639-4,Zeki AyağFunda SamanliogluGülçin Büyüközkan,2013,http://link.springer.com/article/10.1007/s10845-012-0639-4,Article
Fuzzy soft set-based approach to prioritizing technical attributes in quality function deployment,Neural Computing and Applications,,23,07-ago,10.1007/s00521-012-1201-1,Zhihui YangYizhen Chen,2013,http://link.springer.com/article/10.1007/s00521-012-1201-1,Article
Moving Towards Organizational Agility: Are We Improving in the Right Direction?,Global Journal of Flexible Systems Management,,14,4,10.1007/s40171-013-0048-3,Majid NejatianMohammad Hossein Zarei,2013,http://link.springer.com/article/10.1007/s40171-013-0048-3,Article
On the interpretation of the inverted kinetics equation and space-time calculations of the effectiveness of the VVER-1000 reactor scram system,Physics of Atomic Nuclei,,76,14,10.1134/S1063778813140093,M. N. ZizinL. D. Ivanov,2013,http://link.springer.com/article/10.1134/S1063778813140093,Article
Identifying solutions for adding service value to international port logistics centers in Taiwan,Maritime Economics & Logistics,,15,4,10.1057/mel.2013.15,Wen-Shyan YangGin-Shuh LiangJi-Feng Ding,2013,http://link.springer.com/article/10.1057/mel.2013.15,Article
User Requirement Analysis and IT Framework Design for Smart Airports,Wireless Personal Communications,,73,4,10.1007/s11277-013-1269-7,Sei-Chang SohnKee-Woong KimChulung Lee,2013,http://link.springer.com/article/10.1007/s11277-013-1269-7,Article
Improvement of customers’ satisfaction with new product design using an adaptive neuro-fuzzy inference systems approach,Neural Computing and Applications,,23,1,10.1007/s00521-013-1431-x,Salman Nazari-ShirkouhiAbbas KeramatiKamran Rezaie,2013,http://link.springer.com/article/10.1007/s00521-013-1431-x,Article
A new mixed fuzzy-LP method for selecting the best supplier using fuzzy group decision making,Neural Computing and Applications,,23,1,10.1007/s00521-013-1458-z,Abbas SepehriarReza EslamipoorArash Nobari,2013,http://link.springer.com/article/10.1007/s00521-013-1458-z,Article
Proposal for a Performance Dashboard for the Monitoring of Water and Sewage Service Companies (WaSCs),Water Resources Management,,26,1,10.1007/s11269-011-9901-3,Fiorenzo FranceschiniElisa Turina,2012,http://link.springer.com/article/10.1007/s11269-011-9901-3,Article
Using AHP to evaluate the criteria of auto spare parts industry,Quality & Quantity,,46,1,10.1007/s11135-010-9367-z,Hsin-Hung WuYa-Ning Tsai,2012,http://link.springer.com/article/10.1007/s11135-010-9367-z,Article
Current-density functional theory study of the H2 molecule evolving under a strong ultrashort magnetic field,The European Physical Journal D,,66,1,10.1140/epjd/e2011-20550-0,Vikas,2012,http://link.springer.com/article/10.1140/epjd/e2011-20550-0,Article
Lifecycle scenario design for product end-of-life strategy,Journal of Remanufacturing,,2,1,10.1186/2210-4690-2-1,Shinichi FukushigeKazuhiro YamamotoYasushi Umeda,2012,http://link.springer.com/article/10.1186/2210-4690-2-1,Article
The effect of Arizona language policies on Arizona Indigenous students,Language Policy,,11,1,10.1007/s10993-011-9230-7,Mary Carol CombsSheilah E. Nicholas,2012,http://link.springer.com/article/10.1007/s10993-011-9230-7,Article
Advanced model for maintenance management in a continuous improvement cycle: integration into the business strategy,International Journal of System Assurance Engineering and Management,,3,1,10.1007/s13198-012-0092-y,Luis BarberáAdolfo CrespoPablo ViverosRaúl Stegmaier,2012,http://link.springer.com/article/10.1007/s13198-012-0092-y,Article
A multi-criteria decision-making methodology on the selection of facility location: fuzzy ANP,The International Journal of Advanced Manufacturing Technology,,59,05-ago,10.1007/s00170-011-3505-1,Aşkın Özdağoğlu,2012,http://link.springer.com/article/10.1007/s00170-011-3505-1,Article
Do brain cancer rates correlate with ambient exposure levels of criteria air pollutants or hazardous air pollutants (HAPs)?,"Air Quality, Atmosphere & Health",,5,1,10.1007/s11869-010-0122-3,Peter A. ValbergChristopher M. Long,2012,http://link.springer.com/article/10.1007/s11869-010-0122-3,Article
Application of fuzzy logic-based environmental conscious QFD to rotary switch: a case study,Clean Technologies and Environmental Policy,,14,2,10.1007/s10098-011-0404-y,S. VinodhGopinath Rathod,2012,http://link.springer.com/article/10.1007/s10098-011-0404-y,Article
Modeling and initiating knowledge management program using FQFD: a case study involving a healthcare institute,Quality & Quantity,,46,3,10.1007/s11135-011-9432-2,Ching-Wen Chen,2012,http://link.springer.com/article/10.1007/s11135-011-9432-2,Article
From user requirements to commonality specifications: an integrated approach to product family design,Research in Engineering Design,,23,2,10.1007/s00163-011-0119-4,Timothy W. SimpsonAaron BobukLaura A. SlingerlandSean BrennanDrew LoganKarl Reichard,2012,http://link.springer.com/article/10.1007/s00163-011-0119-4,Article
A review of designing machine tool for leanness,Sadhana,,37,2,10.1007/s12046-012-0062-8,ANIL GUPTAT K KUNDRA,2012,http://link.springer.com/article/10.1007/s12046-012-0062-8,Article
An approach to the extraction of preference-related information from design team language,Research in Engineering Design,,23,2,10.1007/s00163-011-0116-7,Haifeng JiMaria C. YangTomonori Honda,2012,http://link.springer.com/article/10.1007/s00163-011-0116-7,Article
An Intelligent Healthcare Management System: A New Approach in Work-order Prioritization for Medical Equipment Maintenance Requests,Journal of Medical Systems,,36,2,10.1007/s10916-010-9501-4,Naser HamdiRami OweisHamzeh Abu ZraiqDenis Abu Sammour,2012,http://link.springer.com/article/10.1007/s10916-010-9501-4,Article
"Latino Crime and Latinos in the Criminal Justice System: Trends, Policy Implications, and Future Research Initiatives",Race and Social Problems,,4,1,10.1007/s12552-012-9067-5,Jacob I. StowellRamiro Martinez Jr.Jeffrey M. Cancino,2012,http://link.springer.com/article/10.1007/s12552-012-9067-5,Article
An Exploration of Perceptions of Possible Depression Prevention Services for Caregivers of Elderly or Chronically Ill Adults in Rural Georgia,Community Mental Health Journal,,48,2,10.1007/s10597-010-9361-x,Claire E. RamsayElizabeth Reisinger WalkerRachel RamsayMichael T. ComptonNancy Thompson,2012,http://link.springer.com/article/10.1007/s10597-010-9361-x,Article
An analytical model for building brand equity in hospitality firms,Annals of Operations Research,,195,1,10.1007/s10479-011-0990-4,Tsuen-Ho HsuLi-Chu HungJia-Wei Tang,2012,http://link.springer.com/article/10.1007/s10479-011-0990-4,Article
Integrated uncertainty management for decision making,Annals of Operations Research,,195,1,10.1007/s10479-012-1067-8,Van-Nam HuynhJonathan LawryYoshiteru Nakamori,2012,http://link.springer.com/article/10.1007/s10479-012-1067-8,Article
Form Factors of Few-Body Systems: Point Form Versus Front Form,Few-Body Systems,,52,03-abr,10.1007/s00601-011-0283-0,M. Gómez-RochaE. P. BiernatW. Schweiger,2012,http://link.springer.com/article/10.1007/s00601-011-0283-0,Article
Supplier selection using axiomatic fuzzy set and TOPSIS methodology in supply chain management,Fuzzy Optimization and Decision Making,,11,2,10.1007/s10700-012-9117-x,Ye LiXiaodong LiuYan Chen,2012,http://link.springer.com/article/10.1007/s10700-012-9117-x,Article
‘Mutts like Me’: Multiracial Students’ Perceptions of Barack Obama,Qualitative Sociology,,35,2,10.1007/s11133-012-9226-4,Michael P. Jeffries,2012,http://link.springer.com/article/10.1007/s11133-012-9226-4,Article
Evaluation of children’s after-school programs in Taiwan: FAHP approach,Asia Pacific Education Review,,13,2,10.1007/s12564-011-9202-9,Amy H. I. LeeChih-Neng YangChun-Yu Lin,2012,http://link.springer.com/article/10.1007/s12564-011-9202-9,Article
Thirty criteria based leanness assessment using fuzzy logic approach,The International Journal of Advanced Manufacturing Technology,,60,09-dic,10.1007/s00170-011-3658-y,S. VinodhK. E. K. Vimal,2012,http://link.springer.com/article/10.1007/s00170-011-3658-y,Article
Fuzzy Group Decision-Making for Service Innovations in Quality Function Deployment,Group Decision and Negotiation,,21,4,10.1007/s10726-010-9223-5,Ling-Zhong LinLiang-Chih HuangHuery-Ren Yeh,2012,http://link.springer.com/article/10.1007/s10726-010-9223-5,Article
Review of sustainable product design from life cycle perspectives,International Journal of Precision Engineering and Manufacturing,,13,7,10.1007/s12541-012-0169-1,Ming-Chuan ChiuChih-Hsing Chu,2012,http://link.springer.com/article/10.1007/s12541-012-0169-1,Article
"Application of axiomatic design, TRIZ, and mixed integer programming to develop innovative designs: a locomotive ballast arrangement case study",The International Journal of Advanced Manufacturing Technology,,61,05-ago,10.1007/s00170-011-3752-1,Gül Okudan KremerMing-Chuan ChiuChun-Yu LinSaraj GuptaDavid ClaudioHenri Thevenot,2012,http://link.springer.com/article/10.1007/s00170-011-3752-1,Article
Combining CPU and GPU architectures for fast similarity search,Distributed and Parallel Databases,,30,03-abr,10.1007/s10619-012-7092-4,Martin KrulišTomáš SkopalJakub LokočChristian Beecks,2012,http://link.springer.com/article/10.1007/s10619-012-7092-4,Article
Mitigating the risk of information leakage in a two-level supply chain through optimal supplier selection,Journal of Intelligent Manufacturing,,23,4,10.1007/s10845-011-0527-3,Da Yong ZhangXinlin CaoLingyu WangYong Zeng,2012,http://link.springer.com/article/10.1007/s10845-011-0527-3,Article
A hybrid intelligent approach for supply chain management system,Journal of Intelligent Manufacturing,,23,4,10.1007/s10845-010-0431-2,Cemalettin KubatBaris Yuce,2012,http://link.springer.com/article/10.1007/s10845-010-0431-2,Article
Developing a process of concept generation for new product-service systems: a QFD and TRIZ-based approach,Service Business,,6,3,10.1007/s11628-012-0138-x,Sojung KimByungun Yoon,2012,http://link.springer.com/article/10.1007/s11628-012-0138-x,Article
Dynamic optimization of queries in pivot-based indexing,Multimedia Tools and Applications,,60,2,10.1007/s11042-010-0614-z,Svein Erik BratsbergMagnus Lie Hetland,2012,http://link.springer.com/article/10.1007/s11042-010-0614-z,Article
An association rule mining and maintaining approach in dynamic database for aiding product–service system conceptual design,The International Journal of Advanced Manufacturing Technology,,62,01-abr,10.1007/s00170-011-3787-3,Xiuli GengXuening ChuZaifang Zhang,2012,http://link.springer.com/article/10.1007/s00170-011-3787-3,Article
National Guard Service Members Returning Home After Deployment: The Case for Increased Community Support,Administration and Policy in Mental Health and Mental Health Services Research,,39,5,10.1007/s10488-011-0356-x,Adrian BlowMaryhelen D. MacInnesJessica HamelBarbara AmesEsther OnagaKendal HoltropLisa GormanSheila Smith,2012,http://link.springer.com/article/10.1007/s10488-011-0356-x,Article
The use of fuzzy logic in product family development: literature review and opportunities,Journal of Intelligent Manufacturing,,23,5,10.1007/s10845-010-0465-5,Bruno AgardMarco Barajas,2012,http://link.springer.com/article/10.1007/s10845-010-0465-5,Article
An effective quality assurance for small quantity batch manufactured products with digital engineering,International Journal of Precision Engineering and Manufacturing,,13,10,10.1007/s12541-012-0237-6,Yoo-Chul LeeHye-Rim Bae,2012,http://link.springer.com/article/10.1007/s12541-012-0237-6,Article
A fuzzy ANP model for supplier selection as applied to IC packaging,Journal of Intelligent Manufacturing,,23,5,10.1007/s10845-010-0448-6,He-Yau KangAmy H. I. LeeC.-Y. Yang,2012,http://link.springer.com/article/10.1007/s10845-010-0448-6,Article
Tackling with redundant design solutions through axiomatic design,International Journal of Precision Engineering and Manufacturing,,13,10,10.1007/s12541-012-0241-x,António M. Gonçalves-CoelhoGabriela NeştianMiguel CaviqueAntónio Mourão,2012,http://link.springer.com/article/10.1007/s12541-012-0241-x,Article
Health Risk Behaviors Among Five Asian American Subgroups in California: Identifying Intervention Priorities,Journal of Immigrant and Minority Health,,14,5,10.1007/s10903-011-9552-8,Annette E. MaxwellCatherine M. CrespiRyan E. AlanoMadhuri SudanRoshan Bastani,2012,http://link.springer.com/article/10.1007/s10903-011-9552-8,Article
Man versus math: Behaviorist exploration of post-crisis non-banking asset management,Journal of Asset Management,,13,5,10.1057/jam.2012.14,Kenneth David Strang,2012,http://link.springer.com/article/10.1057/jam.2012.14,Article
Setting quality targets for coming releases with QUPER: an industrial case study,Requirements Engineering,,17,4,10.1007/s00766-011-0125-0,Richard Berntsson SvenssonYuri SprockelBjörn RegnellSjaak Brinkkemper,2012,http://link.springer.com/article/10.1007/s00766-011-0125-0,Article
Leanness evaluation using IF–THEN rules,The International Journal of Advanced Manufacturing Technology,,63,01-abr,10.1007/s00170-012-3919-4,K. E. K. VimalS. Vinodh,2012,http://link.springer.com/article/10.1007/s00170-012-3919-4,Article
An intelligent system based on concurrent engineering for innovative product design at the conceptual design stage,The International Journal of Advanced Manufacturing Technology,,63,05-ago,10.1007/s00170-012-3932-7,Kevin C. TsengWaleed El-Ganzoury,2012,http://link.springer.com/article/10.1007/s00170-012-3932-7,Article
An investigation of the dynamic features of service design methods,Journal of Service Science Research,,4,2,10.1007/s12927-012-0014-1,Konstantinos GkekasJeffrey AlcockAshutosh Tiwari,2012,http://link.springer.com/article/10.1007/s12927-012-0014-1,Article
Model-based definition design in the product lifecycle management scenario,The International Journal of Advanced Manufacturing Technology,,52,01-abr,10.1007/s00170-010-2699-y,M. AlemanniF. DestefanisE. Vezzetti,2011,http://link.springer.com/article/10.1007/s00170-010-2699-y,Article
A study of the use of concept selection methods from inside a company,Research in Engineering Design,,22,1,10.1007/s00163-010-0093-2,Belinda López-MesaNicklas Bylund,2011,http://link.springer.com/article/10.1007/s00163-010-0093-2,Article
A supplier selection and order allocation model with multiple transportation alternatives,The International Journal of Advanced Manufacturing Technology,,52,01-abr,10.1007/s00170-010-2697-0,Mohsen Jafari SonghoriMadjid TavanaAli AzadehMohammad Hossien Khakbaz,2011,http://link.springer.com/article/10.1007/s00170-010-2697-0,Article
Application of Flexible Lean Tools for Restructuring of Manufacturing Operations: A Case Study,Global Journal of Flexible Systems Management,,12,01-feb,10.1007/BF03396595,Boppana V. ChowdaryDamian George,2011,http://link.springer.com/article/10.1007/BF03396595,Article
Quantum fluid dynamics based current-density functional study of a helium atom in a strong time-dependent magnetic field,The European Physical Journal D,,61,3,10.1140/epjd/e2010-10390-9,Vikas,2011,http://link.springer.com/article/10.1140/epjd/e2010-10390-9,Article
