Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Quality function deployment approach to urban ecological public art design centred on resident needs,Scientific Reports,,14,1,10.1038/s41598-024-73156-7,Renjing HuXuanyu TaoJiaxuan GongFeng Wang,2024,http://link.springer.com/article/10.1038/s41598-024-73156-7,Article
A new method to prioritize the QFDs’ engineering characteristics inspired by the Law of  Comparative Judgment,Research in Engineering Design,,35,4,10.1007/s00163-024-00436-8,Domenico A. MaisanoGiovanna CarreraLuca MastrogiacomoFiorenzo Franceschini,2024,http://link.springer.com/article/10.1007/s00163-024-00436-8,Article
Failure Analysis of Automotive Drive System: A Six Sigma DMADV Approach,Journal of Failure Analysis and Prevention,,24,5,10.1007/s11668-024-02003-8,Shivagond TeliVinod SurangeLokpriya Gaikwad,2024,http://link.springer.com/article/10.1007/s11668-024-02003-8,Article
Hybrid DEA-BWM-KEMIRA approach for multiple attribute decision-making: a weighted analysis perspective,Soft Computing,,28,20,10.1007/s00500-024-09933-3,Mehdi SoltanifarFrancisco J. Santos-Arteaga,2024,http://link.springer.com/article/10.1007/s00500-024-09933-3,Article
Performance evaluation of supply chain resilience in epidemic crises: an extension of network non-parametric methodology,OR Spectrum,,,,10.1007/s00291-024-00790-y,Majid AzadiReza Farzipoor SaenAli Ebrahimnejad,2024,http://link.springer.com/article/10.1007/s00291-024-00790-y,Article
Application of artificial intelligence in the new generation of underwater humanoid welding robots: a review,Artificial Intelligence Review,,57,11,10.1007/s10462-024-10940-x,Peng ChiZhenmin WangHaipeng LiaoTing LiXiangmiao WuQin Zhang,2024,http://link.springer.com/article/10.1007/s10462-024-10940-x,Article
Assessing Southeast Asia countries’ potential in the semiconductor supply chain: an objectively weighting multi-criteria decision-making approach,Humanities and Social Sciences Communications,,11,1,10.1057/s41599-024-03768-x,Chia-Nan WangNhat-Luong NhieuChen-Te ChiangYen-Hui Wang,2024,http://link.springer.com/article/10.1057/s41599-024-03768-x,Article
Developing Industry 4.0-based e-waste management: a decision-aided tool equipped with continuous function-valued intuitionistic fuzzy sets,International Journal of Environmental Science and Technology,,,,10.1007/s13762-024-05977-y,B. AydoğanG. ÖzçelikM. Ünver,2024,http://link.springer.com/article/10.1007/s13762-024-05977-y,Article
Sustainability analysis of FarmFox IoT device towards Agriculture 5.0,"Environment, Development and Sustainability",,,,10.1007/s10668-024-05356-0,Ankita DasBiswajit DebnathAnirbit SenguptaAbhijit DasDebashis De,2024,http://link.springer.com/article/10.1007/s10668-024-05356-0,Article
A Decision Support Model for Barriers and Optimal Strategy Design in Sustainable Humanitarian Supply Chain Management,Global Journal of Flexible Systems Management,,25,3,10.1007/s40171-024-00394-z,Md Maruf Hossan ChowdhurySanjoy Kumar PaulEijaz Ahmed KhanA. K. M. Shakil Mahmud,2024,http://link.springer.com/article/10.1007/s40171-024-00394-z,Article
A sustainable decision-making framework and a mixed-integer formulation for the project portfolio selection problem,The Journal of Supercomputing,,80,14,10.1007/s11227-024-06241-3,Amir Hossein HosseinianHamid Esmaeeli,2024,http://link.springer.com/article/10.1007/s11227-024-06241-3,Article
CI-MM-Dombi operator based on interval type-2 spherical fuzzy set and its applications on sustainable supply chain with risk criteria: using CI-TODIM-MARCOS method,Soft Computing,,28,17 - 18,10.1007/s00500-024-09794-w,Binoy Krishna GiriSankar Kumar Roy,2024,http://link.springer.com/article/10.1007/s00500-024-09794-w,Article
A Comprehensive Investigation of Rural and Low-Rise Housing Design Quality: a Thematic and Bibliometric Analysis,Journal of Housing and the Built Environment,,39,3,10.1007/s10901-024-10122-9,Priya TyagiBhavna ShrivastavaNand Kumar,2024,http://link.springer.com/article/10.1007/s10901-024-10122-9,Article
Fuzzy cognitive network process for software reliability and quality measurement: comparisons with fuzzy analytic hierarchy process,Journal of Reliable Intelligent Environments,,10,3,10.1007/s40860-024-00230-2,Kevin Kam Fung Yuen,2024,http://link.springer.com/article/10.1007/s40860-024-00230-2,Article
A resilience assessment model for dry bulk shipping supply chains: the case of the Ukraine grain corridor,Maritime Economics & Logistics,,26,3,10.1057/s41278-023-00277-7,Serkan KarakasMehmet KirmiziHuseyin GencerKevin Cullinane,2024,http://link.springer.com/article/10.1057/s41278-023-00277-7,Article
Some interval-valued spherical fuzzy Frank Choquet integral operators in multicriteria decision making,Soft Computing,,28,17 - 18,10.1007/s00500-024-09854-1,Pankaj KakatiBijan Davvaz,2024,http://link.springer.com/article/10.1007/s00500-024-09854-1,Article
Development and implementation of digital pedagogical support systems in the context of educational equity,Humanities and Social Sciences Communications,,11,1,10.1057/s41599-024-03616-y,Shuo-fang LiuJuan LiHang-qin ZhangZhe LiMeng Cheng,2024,http://link.springer.com/article/10.1057/s41599-024-03616-y,Article
Elevating Pakistan’s flood preparedness: a fuzzy multi-criteria decision making approach,Financial Innovation,,10,1,10.1186/s40854-024-00659-7,Zeshan AlamYousaf AliDragan Pamucar,2024,http://link.springer.com/article/10.1186/s40854-024-00659-7,Article
Literature analysis of the location selection studies related to the waste facilities within MCDM approaches,Environmental Science and Pollution Research,,,,10.1007/s11356-024-34370-y,Ertugrul AyyildizMelike Erdogan,2024,http://link.springer.com/article/10.1007/s11356-024-34370-y,Article
How to exploit Augmented Reality (AR) technology in patient customized surgical tools: a focus on osteotomies,Multimedia Tools and Applications,,83,27,10.1007/s11042-023-18058-y,Luca UlrichFederico SalernoSandro MoosEnrico Vezzetti,2024,http://link.springer.com/article/10.1007/s11042-023-18058-y,Article
Selection of the optimal scheme for the conceptual design of a polisher considering multi-source uncertainties,Journal of Mechanical Science and Technology,,38,8,10.1007/s12206-024-0723-7,Zhenyu LiuZhinan LiGuodong SaHui LiuJianrong Tan,2024,http://link.springer.com/article/10.1007/s12206-024-0723-7,Article
Intelligent data-driven acquisition method for user requirements,Personal and Ubiquitous Computing,,28,03-abr,10.1007/s00779-024-01804-w,Zhenwei YouJian LiuTingting YangJiagang CaoWei-Chen Chang,2024,http://link.springer.com/article/10.1007/s00779-024-01804-w,Article
